,precision,recall,f1-score,support
Achyranthes aspera (Apang),0.8529411764705882,0.9666666666666667,0.90625,30.0
Alternanthera brasiliana L. kuntze (Kalochitra),1.0,0.9666666666666667,0.9830508474576272,30.0
Andrographis paniculata wall. ex nees (Kalomegh),1.0,0.9666666666666667,0.9830508474576272,30.0
Artocarpus chama (Chapalish),1.0,0.9666666666666667,0.9830508474576272,30.0
Asparagus racemosus willd (Shotomuli),1.0,1.0,1.0,30.0
Ayapana triplinervis (Ayapan),0.967741935483871,1.0,0.9836065573770492,30.0
Boerhavia diffusa L. (Punarnava),0.967741935483871,1.0,0.9836065573770492,30.0
Clerodendrum indicum L. kuntze (Bamonhati),1.0,0.9666666666666667,0.9830508474576272,30.0
Datura tramonium L. (Kalodhutura),1.0,0.9,0.9473684210526315,30.0
Eleutherine bulbosa (Betal),1.0,1.0,1.0,30.0
Gloriosa superba (Agnishikha),1.0,1.0,1.0,30.0
Gynura procumbens (Lour.) merr. (Gainura),1.0,1.0,1.0,30.0
Hemidesmus indicus (Linn.) R. Br (Anantamul),0.9375,1.0,0.967741935483871,30.0
Justicia adhatoda L. (Basok),0.9642857142857143,0.9,0.9310344827586207,30.0
Ocimum gatissimum L. (Ram-Tulsi),0.8823529411764706,1.0,0.9375,30.0
Rauwolfia serpentina (Sarpagandha),1.0,0.9,0.9473684210526315,30.0
accuracy,0.9708333333333333,0.9708333333333333,0.9708333333333333,0.9708333333333333
macro avg,0.9732852314312822,0.9708333333333334,0.9710424853082725,480.0
weighted avg,0.9732852314312822,0.9708333333333333,0.9710424853082726,480.0
